Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
05/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3364.36
06/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3405.458
07/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3308.905
08/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3305.852
09/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3258.46
12/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3223.422
13/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3318.139
14/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3295.096
15/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3252.977
16/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3270.362
19/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3214.13
20/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3226.985
21/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3177.172
22/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3177.172
23/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3229.125
26/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3156.249
27/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3202.342
28/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3293.258
29/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3295.62
30/11/2007,#N/A N/A,#N/A N/A,#N/A N/A,3320.171
03/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3301.891
04/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3280.533
05/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3330.85
06/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3381.522
07/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3377.592
10/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3403.5
11/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3318.07
12/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3337.49
13/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3341.411
14/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3295.815
17/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3245.886
18/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3265.379
19/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3262.211
20/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3280.775
21/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3334.733
24/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3361.413
25/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3361.413
26/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3364.21
27/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3317.269
28/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3321.682
31/12/2007,#N/A N/A,#N/A N/A,#N/A N/A,3299.544
01/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3299.544
02/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3253.875
03/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3253.078
04/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3172.255
07/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3180.702
08/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3122.596
09/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3163.285
10/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3187.758
11/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3144.396
14/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3178.906
15/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3099.922
16/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3082.293
17/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,2993.18
18/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,2975.596
21/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,2975.596
22/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,2943.302
23/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3005.488
24/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3038.35
25/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,2990.589
28/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3043.99
29/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3062.385
30/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3046.525
31/01/2008,#N/A N/A,#N/A N/A,#N/A N/A,3098.162
01/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3138.225
04/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3105.731
05/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3007.88
06/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,2985.032
07/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3008.269
08/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,2997.747
11/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3016.256
12/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3036.688
13/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3079.316
14/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3037.866
15/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3039.994
18/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3039.994
19/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3037.8
20/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3063.361
21/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3025.048
22/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3048.571
25/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3091.696
26/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3112.961
27/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3109.249
28/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,3082.241
29/02/2008,#N/A N/A,#N/A N/A,#N/A N/A,2999.817
03/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,3001.432
04/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2990.995
05/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,3008.579
