Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
27/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.909
28/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.346
31/03/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.573
01/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.669
02/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.392
03/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.741
04/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.646
07/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.606
08/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.4
09/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.691
10/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.691
11/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.159
14/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.379
15/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.838
16/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.017
17/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.579
18/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.554
21/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.501
22/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.054
23/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,61.243
24/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,60.595
25/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,60.816
28/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,61.586
29/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.637
30/04/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.656
01/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.657
02/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,63.881
05/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.221
06/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.787
07/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.906
08/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,64.906
09/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,65.225
12/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.182
13/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.576
14/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.168
15/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.477
16/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.41
19/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.269
20/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,66.655
21/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,67.504
22/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,69.117
23/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,70.047
26/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,72.719
27/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,71.737
28/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,72.11
29/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,71.736
30/05/2003,#N/A N/A,#N/A N/A,#N/A N/A,71.788
02/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.707
03/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.929
04/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.94
05/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.482
06/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.881
09/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,74.122
10/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.554
11/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,73.542
12/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,75.042
13/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,77.386
16/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,77.08
17/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,78.262
18/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,77.315
19/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,78.171
20/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,78.19
23/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.893
24/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.003
25/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.438
26/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.188
27/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,77.15
30/06/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.39
01/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.389
02/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.652
03/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,77.271
04/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,76.74
07/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,79.498
08/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,80.819
09/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,82.494
10/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,82.348
11/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,81.524
14/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.202
15/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.812
16/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.422
17/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.159
18/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.617
21/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.674
22/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,82.168
23/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,79.978
24/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,80.492
25/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,80.579
28/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.167
29/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.563
30/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.11
31/07/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.962
01/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.33
04/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.977
05/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.094
06/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.1
07/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,82.231
08/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,81.263
11/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,83.736
12/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.788
13/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.825
14/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.898
15/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,84.797
18/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,86.261
19/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.457
20/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.827
21/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,86.612
22/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,88.159
25/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,86.334
26/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.84
27/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.678
28/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,87.239
29/08/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.548
01/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.625
02/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.214
03/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,91.803
04/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,92.45
05/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,92.836
08/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,92.547
09/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.036
10/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,87.864
11/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.229
12/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.218
15/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.914
16/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.562
17/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.073
18/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,87.855
19/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,86.394
22/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,85.519
23/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,87.606
24/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.069
25/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.621
26/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.705
29/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,89.01
30/09/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.242
01/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,90.309
02/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,91.831
03/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,92.875
06/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,93.899
07/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,95.343
08/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,97.347
09/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,100.24
10/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.554
13/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,102.266
14/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,100.775
15/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.965
16/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.406
